Name,FullName,Generations,Latitude,Longitude,Logo,DetectorType,NeutrinoType,NeutrinoSources,EnergyMeVMin,EnergyMeVMax,Goal,Proposal,ProposedDate,StartDataTaking,DateofRetirement,DetectorDetails,Discovery,,,,,,,,,,,,,,,,,
JUNO,,,22.17208708,112.4122417,,Liquid scintillator,Reactor,Reactor,,,"Oscillation?, 0vbb in 2030s",,,2025,,"20k ton liquid scintillator (LS), 4m diameter. Stainless steel frame + Acrylic tank. Liquid scintillator: LAB + PPO + bis (?)",,,,,,,,,,,,,,,,,,
Jinping,,Jinping,28.153333,101.711389,,Liquid scintillator,Atmosphere,Atmospherical Neutrinos,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowan–Reines,,Cowan–Reines,33.234,-81.6451,,Liquid scintillator,Reactor,Atomic Bomb,,,,,,1956,1956,Two tanks of water,Prove electro antineutrino exists,,,,,,,,,,,,,,,,,
CCM,Coherent Captain Mills,CCM120,35.86747444,-106.2575374,,LAr Scintillation Detector,Accelerator,LANSCE,,,"Sterile neutrino, dark matter",https://p25ext.lanl.gov/~lee/CaptainMills/Documentation/CCM_Proposal_Lujan_2018_V1.pdf,,2019,2019,10 tons LAr,,,,,,,,,,,,,,,,,,
LSND,Liquid Scintillator Neutrino Detector,LSND,35.86741707,-106.2575498,,Scintilatoin Detector,Accelerator,LANSCE,,,,,,1993,1998,,,,,,,,,,,,,,,,,,,
SuperK,,Super-Kamiokande,36.4238889,137.319722,https://gcn.nasa.gov/_static/app/_assets/logo-3JVFAKTM.png,Water Cherenkov,Atmosphere,Atmospherical Neutrinos,,,,,,1996,,2.8 degree off axis.,,,,,,,,,,,,,,,,,,
SciBooNE,Sci Booster Neutrino Experiment,,41.83412004,-88.26940963,,Scintilatoin Detector,Accelerator,BNB,,,Xsec on C & Fe,https://arxiv.org/abs/hep-ex/0601022,,2007,2008,S,,,,,,,,,,,,,,,,,,
MiniBooNE,,,41.83810187,-88.26949814,https://johncarlosbaez.wordpress.com/wp-content/uploads/2018/06/a-schematic-drawing-of-the-miniboone-detector.png,Mineral Oil Cherenkov,Accelerator,BNB,140,,,,,2002,2019,450 tons fiducial mass,Low Energy Excess anomaly,,,,,,,,,,,,,,,,,
SBN,Short-Baseline Neutrino Program,SBND,41.83424293,-88.26943377,,LArTPC,Accelerator,BNB,,,"LEE, XSec, BSM",,,2024,,"112 ton fiducial mass; 4x4x5 m; 110m from BNB, on-axis.",,,,,,,,,,,,,,,,,,
MicroBooNE,Micro-Booster Neutrino Experiment,MicroBooNE,41.83754685,-88.26958094,https://microboone-exp.fnal.gov/public/approved_plots/plots/3004/kalekologo_noshadow.png,LArTPC,Accelerator,"BNB, NuMI",,,"LEE, XSec, BSM",https://inspirehep.net/literature/776376,,2014,2021,"85 tonne fiducial mass; 470m from BNB, on-axis; ?m from NUMI, off-axis, 8 degrees, e.g. 20 degrees up and 9 degrees left from the beamline;",,,,,,,,,,,,,,,,,,
ICARUS,,ICARUS,41.83860697,-88.2695834,,"LArTPC, LongBaseLine",Accelerator,"BNB, NuMI",,,"LEE, XSec, BSM",,,2021,,"760-tons, 476 tons fiducial volume, 20-meter-long; 600m from BNB, on-axis; 700 m from NuMI beam, off-axis, 6 degrees; Previously located in Gran Sasso Laboratory at CERN.",,,,,,,,,,,,,,,,,,
Nova,NuMI Off-Axis nu_e Appearance ,Nova Near detector,41.8395656,-88.2702022,https://novaexperiment.fnal.gov/wp-content/uploads/2018/05/NOvA-s.jpg,Liquid scintillator,Accelerator,NuMI,,,Oscillation,,,2014,,"100m away, underground",,,,,,,,,,,,,,,,,,
Borexino,,,42.42096,13.51598,,Liquid Scintillator,Solar Neutrinos,Atmospherical Neutrinos,100keV,,,https://borex.lngs.infn.it/papers/1991-08%20BorexYellowBook.pdf,,2007,2021,,Flavor high metallicity (HZ theory) than LZ,,,,,,,,,,,,,,,,,
Homestake,,Homestake,44.3561,-103.7647,,Liquid Scintillator,Atmosphere,Atmospherical Neutrinos,,,Solar neutrinos,,,1967,1994,"380 cubic meter (100,000 gallon) tank of perchloroethylene, rich source of 37chlorine",First counts on solar neutrinos,,,,,,,,,,,,,,,,,
SNO,Sudbury Neutrino Observatory,,46.4666667,-81.170333,,Water Chamber,Atmosphere,Atmospherical Neutrinos,,,,,,1999,2006,Heavy Water,,,,,,,,,,,,,,,,,,
P-One,,,47.84265622,-127.3149498,,Scintillator,Astrophysics,Astrophysical Neutrino,,,,,,2028,,"2.6km deep, 70 strings",,,,,,,,,,,,,,,,,,
IceCube,,IceTop,-80.8006734900921,-63.453056,,Scintillator,Astrophysics,Astrophysical Neutrino,,,,https://arxiv.org/abs/astro-ph/0509322,,2005,,,,,,,,,,,,,,,,,,,,
ANNIE,,,41.83412004,-88.26940963,,Gadolinium-doped water Chamber,Accelerator,BNB,,,Measure neutron yield of neutrino nucleus scattering in water.,,,2020,,FineGrind,,,,,,,,,,,,,,,,,,
MINERvA,Main INjector ExpeRiment of v (nu) on A (atom),MINERvA,41.8394197,-88.2701378,https://minerva.fnal.gov/wp-content/uploads/2018/06/minerva_pride.jpeg,Tracking Detector,Accelerator,NuMI,10,10000,Neutron detection,https://minerva.fnal.gov/proposals-and-design-reports/,,2009,2019,"In front of MINOS, semi-cylinder 5m in length, 3.45 in diameter. Filled with Polystyrene (CH). Can detctor neutron wieh energy at O(10) MeV.",,,,,,,,,,,,,,,,,,
Nova,,Nova Far detector,48.37929253,-92.8315068,,Liquid scintillator,"Accelerator, Long-Baseline",NuMI,,,Oscillation,,,,,"193 ton PVC Shell, off-axis experiment. 810km away. PVC cells filled with liquid scintillator. near surface",Strong constrain on deltaM32 with join analysis with t2k,,,,,,,,,,,,,,,,,
